User Name,Name Tag,Description
vŽIVO.si,@vzivo_si,"11.00 Izjava za medije o kriminalistični preiskavi kaznivih dejanj pranja denarja

https://livestream.com/zivo/stavzivo

11.00 Novinarska konferenca o aktualnem stanju glede epidemije covid-19; LJUBLJANA"
José Antonio Cuenca,@jcuecam,La SEOM (Sociedad Española de Oncología Médica) estima que el año pasado se dejaron de diagnosticar uno de cada cinco casos de cáncer en España durante la pasada primavera debido a la saturación sanitaria producida por la COVID.
Sir Tommy Farmer,@SirNotTomFarmer,"@spfl
 @HibernianFC
 @CelticFC
 is anyone gonna charge this mob with breaching COVID protocol?"
Orèe,@oree_peters,"Replying to 
@iam_Sleekchick"
ًmaya’s gf | support,@hslotwonder,ابا اسير ابو ذبي بس لازم اسوي 4 covid tests اذا ابا اسير 
MariahDayz,@Mariahdayz,"Replying to 
@davenewworld_2
 and 
@GUEROMEXICAN831"
Jesse,@UraniumXY,COVID was the worst thing to have ever have happened to me
Dominique,@Dominiq59468256,"Replying to 
@dr_l_alexandre"
Asociación APEDANICA,@APEDANICA,"Juez de lo contencioso Daniel Sancho ingresado por COVID pide difusión para este vídeo que da para pensar varias cosas y preocuparse muy seriamente. 
@APEDANICA
 difunde y pide DM y RT"
Sun Star Davao,@SunStarDavao,"Young boys approach vehicles waiting for the green light at the intersection of Magallanes Street and Bankerohan to ask for pennies from drivers and jeepney passengers. Despite the dangers of Covid-19, these boys continue to roam around in the absence of their parents. MACKY LIM"
Evgen Sangushko,@ESangushko,"ЗАЧЕМ Правительство Украины ЗАНИМАЕТСЯ- МОШЕНИЧЕСТВОМ ???
А ВТРОЕ СМЕРТНОСТЬ Правительства Украины почему не наступает с III. 2020-III.2021 
Скільки змерло у Уряду України?

Новые штаммы COVID втрое заразнее и поражают не только легкие, - Степанов"
"橘, Yuu",@tmc_seunghyub,"Replying to 
@tmc_yiyang"
Manshead CE Academy,@mansheadacademy,The Covid 19 Testing is going well as we welcome all students back this week #TeamManshead #MansheadCEAcademy #DSAMAT
Nicola Dowsland,@NicolaDowsland,"Can't read the full Times article (paywall) blaming Sunak instead of Johnson for the 2nd wave of Covid, but from the 1st paragraph and comments, the gist seems to be -a rich boy made me do it.
Makes a change from a big boy made me do it I suppose."
Claudio Panda,@Claudiano1979,"Replying to 
@Cartabellotta"
ella,@gellaaagallardo,Covid cases went up and Alert Lvl2 yung sa Taal. No more batangas. 
Ami(e)s Bouddhistes Neuilly (et d’ailleurs),@NMRK_92,"Replying to 
@f_philippot"
"Hallvarðr
(19-18)",@AlvaroCardOli,"“Día nacional de las víctimas del COVID”... eso es falso, pero bueno, así juegan ellos: repiten mentiras hasta convertirlas en verdad"
Nick Harrington,@Nh2607,"Replying to 
@kazsam92
 @josieeemarieee_
 and 
@TherealNihal"
InvestoPro,@InvestoPro_ita,"Ieri, il #DowJones è balzato sopra i 32 mila punti (+600 punti) a +1,9% e chiudendo a +0,97%.
A spingere è stato soprattutto il forte rialzo di #Disney (+5,1%) sulla news che in #California si allenteranno le restrizioni anti-Covid e sulla possibile riapertura di #Disneyland
."
मैं तुमसे प्यार करता,@Aomidn6019,"100103 morti per #CoviD’ una delle nazioni più industrializzate del mondo, metti la popolazione in restrizione, perché non sa come gestire una pandemia.siamo uno degli ultimi paesi al mondo con il tasso di morti più alto. Perché?"
Staffordshire County Council,@StaffordshireCC,"Still need a Covid test?

If you live in Stafford Borough and haven't been tested since a case of the South African variant was discovered last month, please book a test today.

More info "
Vivek Natarajan,@vivnat,"Replying to 
@lizjosullivan
 and 
@skornblith"
CoronaCentral,@coronacentralai,And second: Effect of Ivermectin on Time to Resolution of Symptoms Among Adults With Mild COVID-19: A Randomized Clinical Trial.
Ahmad Fauzain,@_Ahmad_Fauzain_,"Replying to 
@dakwah_mulia"
Dolly Daydream,@Noconsent12,"Replying to 
@CelticNotorious
 and 
@rjlowe87"
Banni Rinaldy Noor,@BanniNoor,Lestari Moerdijat menghargai kepercayaan Tiongkok yang mendukung Indonesia sebagai pusat vaksin Covid 19 untuk kawasan Asia Tenggara #SemangatPulihkanNegeri #DITA
Adi,@Adi_Senpaii,"Premier test covid ce matin, jfais le courageux mais j’ai envie dpleurer "
Honey,@illflytothemoon,"Replying to 
@splendoreterno"
ไอยูจะcomebackแล้วจ้าาาาาาา,@AIMMILYINMOB,ขอให้เเมสด้านที่มันจับมีเชื้อ covid อยู่  อหหหหหหหห
Red FICP,@RedFICP,Valoran en Reino Unido vacunas de Cuba contra la Covid-19
MisterBan,@MisterBancha,"ครม.ตีกลับเราเที่ยวด้วยกัน เฟส 3 ให้กลับไปทำรายละเอียดโครงการใหม่
#เฟส3  #เราเที่ยวด้วยกัน #ตีกลับ #โควิด #Covid #Misterban"
Liz,@heronsgrove,"Replying to 
@HiljaGebest"
Mgm,@Mgm44664787,"Whitmer could face criminal charges over COVID deaths, prosecutor says https://foxnews.com/politics/whitmer-could-face-criminal-charges-over-covid-deaths-prosecutor-says… #FoxNews"
R03er71n0,@r03er71n0,"Replying to 
@ricciomorbidoso"
Alessandro Speciale,@aspeciale,"A key detail from the CEO of the Swiss company that will produce in #Italy the Russian covid vaccine: no production targets can be set as of now, Mr Di Naro told Bloomberg in an intv

So don't get overly excited about ""million of doses,"" which would come anyway at the end of 2021"
CNA,@ChannelNewsAsia,Australia health minister in hospital after COVID-19 vaccination but link ruled out https://cna.asia/2Oero0o
awkwardolddoctor,@awkwardolddict1,"Meghan and Harry providing a nice little distraction from the COVID-19 death toll. 
 Royals racist? Who’da guessed! They’ll be saying they dress up as Nazis next "
Metis,@Metis_Europe,"Quel impact de la crise du #covid sur le comportement des acteurs de l’entreprise en matière de #santé ?
Eléments de réponse dans cette itw de Rémi Cottet, chargé du dispositif #ObjectifReprise chez l' 
@aract_aura
  "
hi INDiA - News 24/7,@hiindia,"Bhansali tests positive for COVID-19: hi INDiA After Ranbir Kapoor, reports of Sanjay Leela Bhansali testing positive for COVID-19 have been doing the rounds on social media. While we await the official confirmation on the same,… https://hiindia.com/blog/2021/03/09/bhansali-tests-positive-for-covid-19/?utm_source=dlvr.it&utm_medium=twitter… | http://hiindia.com"
Ron,@ronmc1,How Remote Work Has Spiked Since The COVID Crisis http://dlvr.it/RvG9rH
J. McLaughlin,@cardcounterswin,Biden administration to offer $250 million in grants to help address COVID response inequities - Yahoo News
Elaine Overton,@E1ovo,RCN Independent Review of Guidelines for the Prevention and Control of COVID-19 in Health Care Settings in the UK https://rcn.org.uk/professional-development/publications/RCN-Independent-Review-control-of-COVID-19-in-health-care-settings-uk-pub-009-627?utm_campaign=1726024_PDL-JMUS-164714-0503… IPC independent review
Lee,@Duzzmiedin,"Replying to 
@Nigel_Farage"
Sabina,@Sabina_1972,"Replying to 
@Iron_MCMLXXIV"
David Baird #FBPE #DissolveTheUnion Anti Racist!,@Bairddavey,Ofcom throws out bias complaints about Nicola Sturgeon's Covid briefings
Jordan,@JordanUtd7,Why isn’t covid testing in schools optional? This is why the tories will loose votes for being an authoritarian potentially tyrannical government. Someone had to say it. #Politics #COVID19 #Uk #schoolsreopeninguk
Lamont,@onemoveahead,"Replying to 
@cinderella2747"
Crispin Watkins,@CrispinWatkins,"A well written piece by 
@WillHayCardiff
 

Is the FM more afraid now of rural voters turning to Plaid in May that he is of Covid?

On the Tier system I disagree with Will however.  Experientially here in Wales there's never REALLY been a tier system. It's been lockdown or nothing."
Rafael Tinoco,@RafaelTinoco85,"Filosofando pela manhã.... Quando a ciência fala que cloroquina não funciona contra a Covid, o gado bolsonaristas vai contra. Só é a ""favor da ciência"" para ser preconceituoso com um/uma trans."
Laurent Calmut,@laurentcalmut,"Covid au 
@ClermontFoot
 : 14 joueurs positifs"
Newspot Nigeria,@NewspotN,FG Reveals Type Of COVID-19 Vaccine To Be Given To The Public
"We are not⁷,with you 𐤀",@tkker_z,"Replying to 
@kookvtwins"
Future Water,@FutureWaterAsso,"Today our members will hear 
@BristolWater
 share how business is operating in light of COVID-19 & how the supply chain can work effectively with them around the challenges of AMP 7. We have more meetings lined up with 
@DwrCymru
  & 
@wessexwater
. Register 
 https://futurewaterassociation.com/events/category/water-utility-engagement-meetings/…"
Brenton,@Intenselycalm,"What would cause a relatively young and fit man such as Dan to suddenly get dizzy, slip, fall, break ribs?

I’m speculating - in the dark - that a Covid Vaccine has received a few days ago."
Donna Dunn,@Donna_Dunn_,Covid-19: Type 1 diabetes and Covid-19 link being investigated
Mike Holden,@WPXIMikeHolden,"ZERO.

St. Clair Hospital given zero COVID-19 vaccine first doses for weeks, leaders frustrated"
Digitalfyme,@Digitalfyme1,"A safer future is just months away. But don’t give up on Covid safety measures yet, former CDC director says"
SNOWFLAKE,@company_neus,"Avui he viscut un dels moments més emocionants de la carrera al donar-li l'alta a un pacient de 92 anys amb covid que s'ha posat a plorar i a donar-nos les gràcies, dient que es pensava que sortiria amb els peus per davant... Quina feina més bonica la nostra "
Nafie Arrais,@arrais2010,"Instagram Suggested Posts To Users. It Served Up COVID-19 Falsehoods, Study Finds  - https://getbeautyandhealth.com/instagram-suggested-posts-to-users-it-served-up-covid-19-falsehoods-study-finds/…"
RODNEY TATRO,@rodtatro,'Sleep and Covid: The Missing Link?' by The Michael Savage Show
Ainun Sunaryo Ag,@AinunAg,"Semua ditangkap, kemudian nanti di bebaskan cuma-cuma dengan alasan Wabah COVID-19. >>  #BangAliDizalimi <<  #BangAliTidakBersalah >>"
Marc Grau Jr.,@MarcGrauJr,Ahir em van posar la segona dosi de vacuna covid i aquesta nit m’ha donat tants tremolors que em posen unes maraques a les mans i els hi calo foc de la fricció.
Hindustan Times,@HindustanTimes,"Odisha govt restrict congregation, melas on occasion of Maha Shivaratri amid Covid-19 surge"
Hazza,@hazzacoolman,ok going to get my covid test now wish me luck
MABS - The Money Advice and Budgeting Service,@MABSinfo,"Our very own Karl Cronin, MABS Regional Manager North Connacht & Ulster, speaking to 
@IrishTimesBiz
, on the government subsidies provided during COVID-19 & the effects of this on personal/business debt.

Read the full article"
ماجد العيد,@majedaleid_,I'm at مركز لقاح كورونا -Covid-19 Vaccine Center in الرياض
Ingo Keck,@ingo_keck,"Replying to 
@Dempz8
 and 
@Ak83578774"
Isabella Bevington,@IsabelBevingCNA,"US Might Send $1,400 COVID Costs Payments Within Days; Child Tax Credit a Bigger Challenge http://allcnaprograms.com/us-might-send-1400-covid-costs-payments-within-days-child-tax-credit-a-bigger-challenge/…"
Elizabeth,@welosthim,"Replying to 
@tminear
 and 
@theheraldsun"
sergio:),@04sergio_,El covid no va a matar mi salud pero si mis estudios.
Mark Farman,@DutchPigeon,"Replying to 
@Jer5eySpurs
 @vkon1
 and 
@AnthonyAshton1"
Bry,@brylakylee,"Bertdey ng van ngayon pero hindi parin nakakalayo 
  pisting covid kasi yan "
CEIP VINCENT VAN GOGH,@CeipVan,"No nos hemos olvidado de vosotros. La escuela en casa es una opción educativa en la que por decisión de los padres o por situaciones extremas como la pandemia del Covid, se educa a los hijos fuera de las instituciones educativas, concretamente en casa. #homeschooling  
@LolaDaz"
Andrew Farrugia,@ConjuredRundown,Coronavirus latest: Al fresco dining boost for hospitality industry; texts to be sent to over-55s telling them it's time for their COVID jab take piss block gps
Gingerbell,@gingerbellllll,"Replying to 
@CristianBilba12"
Nedra Weinreich,@Nedra,"Replying to 
@admutum"
Le Ref,@LeRef5,"Replying to 
@modern__grl__
 @AdamBrimson
 and 
@JohnHowarth1958"
Tshepo,@boikhutso_s,Ke addilwe mo group ya birthday and batho ba tsamaya kogo 80. I asked a question gore aba setse ba ke kentetswe covid.
Malcolm Anderson,@Malky57Malcolm,"Replying to 
@FIVEEYES5
 and 
@_Datguy1"
Murros da Vida,@DaMurros,"Acordei cedo mais um vez, porém não recomendo

A Carla tá igual nossa vida, quando acha que vai seguir adiante volta pra trás 

Tô sofrendo igual Juliete, ninguém me escolhe pra nada

Terçou com T de Tô Fudido e não é pouco

Vou falar pro COVID que amo ele, assim ele some de vez"
badolly,@badolly1802,"I am not the least bit interested in the whole Meghan and Harry fiasco .. Nor do I wish to keep hearing about it but by god, it makes a change from bloody Covid!!"
Radio 1000 AM,@1000_am,"LUCHA CONTRA EL COVID-19 |

""No quiero decir que estamos en el pico, pero vamos camino a eso""- Dr. Roque Silva (
@roque16silva
), director de la XI Región Sanitaria,con 
@estelitavaldes2
 y 
@danielriosgz
 #PrimeraPalabra #1000am"
JayTay,@jaytay948,"Don’t really give a rats arse about what other countries think, I’m more concerned about getting normal back and the deaths getting really low from COVID, whilst at the same let the proper investigations start into what was said."
Marcos,@mapkon70,"Replying to 
@PetersonLucian6
 @Joas_Baia
 and 
@andretcosta"
Simon,@SiWhelan8812,Weird how the media are barely mentioning covid now the numbers are dropping
Giovanni Troikar,@GTroikar,"Replying to 
@Nicolas74413925
 @ChrisMcCandl
 and 2 others"
Universo 970 AM,@Universo970py,"#AlAire97 | Senador Amado Florentín, de la Comisión de Control de Fondos Covid.
#Tempranísimo
@SomosGEN
 
#Universo970AM"
NUM RDV,@numrdv,"Livraisons, coiffure à domicile, dons... Ces 10 startup nous facilitent la vie à l'heure du Covid-19 https://businessinsider.fr/livraisons-coiffure-a-domicile-dons-ces-10-startup-nous-facilitent-la-vie-a-lheure-du-covid-19-186822?utm_source=dlvr.it&utm_medium=twitter… #Tech"
DSN News,@DSN23686594,"FRANKFORT, Ky. (Oct. 26, 2020) – Today, Gov. Andy Beshear reported 953 COVID-19 cases in Kentucky and issued new red zone reduction recommendations to stop COVID-19 spread and protect Kentuckians in the 55 counties currently in the red zone.  # # # # # #"
"athena
(
)",@_little_babie_,mornings !! got less den 5 hours of sweep last night so m gons take loooooooong naps after my covid test !!
24x7 Headline,@24x7Headline,"Sanjay Leela Bhansali tests positive for COVID-19 on the sets of ‘Gangubai Kathiawadi’, shoot put on hold – Times of India"
AJ,@itzzAyJ,COVID test feels so peng in my throat
amaduro gadinho do Carli,@joaoamaduro,"Replying to 
@Jhonnydt2
 @Eudes_Luciano
 and 
@Gaules"
EFL Avocats,@efl_avocats,"#groupedesociétés Nouveau contenu en ligne... Sujets de clôture pour les #comptesconsolidés 2020 : #Covid-19, hyperinflation dans cert..."
Juancho,@Juancho_rouvier,"No tengo covid, me dormí con el aire en 16° "
Daily Guardian,@dailyguardianph,"BREAKING: Additional COVID-19 vaccine doses to arrive in Iloilo tomorrow

The Philippine Information Agency-Region 6 (PIA-6) informed media today that up to 26,880 doses of vaccines against the coronavirus disease 2019 (COVID-19)"
BRA KWADWO,@kwadwo_sa,"Replying to 
@koboateng"
Schools Improvement,@SchoolsImprove,"From Today: Covid-19: School rapid test cannot be overruled, says minister"
HATAB,@Hatab_Botswana,"Ministry of International Affairs & Cooperation announced that the arrival of Covid 19 vaccines will be today at 12:30

We are super excited about the new development as it ignites hope for the tourism sector!

#arrivalofcovid19vaccine
#hopefortourism"
Respiratory Futures,@respfutures,"Previously on RF: Joshua Singh a Physician Associate working 
@SwanseabayNHS
 spending his first year on the job on the COVID-19 care frontline at #MorristonHospital https://bit.ly/3qjvsuy"
Isabella Bevington,@IsabelBevingCNA,Research study: Equivalent of COVID emissions drop is needed every 2 years http://allcnaprograms.com/research-study-equivalent-of-covid-emissions-drop-is-needed-every-2-years/…
lubulule,@HoyezLilou,Le test covid il agresse de fou
StarBiz,@starbizmy,Khairy: Govt to announce details of special protection plan for Covid-19 side effects on Monday (March 15)
Saint Patty’s Boy,@ReactsRoyalty,Covid made me stop biting my nails thx u god bc nothing else was gonna stop that habit 
sirma,@Sirmaaltun1,"Important perspective to understand COVID-19 death toll: '...at the historical level of analysis, in the context of specific social formations, capital is indifferent to the conditions in which labour power is reproduced unless these might threaten capital accumulation'.. (1)"
Cathy Osten,@CathyOsten,Always helping out in Eastern Connecticut…The Day - Foxwoods COVID-19 vaccination site opens - News from southeastern Connecticut
Vikesh Gudka,@PharmaVik,Serious adverse events with tocilizumab: Pharmacovigilance as an aid to prioritize monitoring in COVID‐19
Yashveer singh,@Yashvee12407994,Over 20 lakh Covid-19 vaccine doses administered in a day: Health Ministry – Hindustan Times
madina,@toxickillme,Enaks nih kalo ga ada covid away tanggerang
medisolve,@medisolve_org,"We believe covid deaths in nursing homes and possibly many other deaths too, could have been avoided, if the Govt. had not been 'hell-bent' on obtaining an EUA for improperly tested, experimental vaccines, clinical trials for which continue until 2023."
,@hoqqqqqq,1st time doing a covid test and now i know what it feels like for girls to deepthroat. Repect to women 
sumselterkini,@sumselterkini,Ruang Digital Bersih dan Sehat Menyukseskan Vaksinasi COVID-19 - http://sumselterkini.co.id/kesehatan/ruang-digital-bersih-dan-sehat-menyukseskan-vaksinasi-covid-19/…
pindainews,@pindainews,"Vaksinasi Covid-19, Pemerintah Sasar 21,5 Juta Lansia Sampai Juni 2021"
Yashveer singh,@Yashvee12407994,Covid-19 surge: 11 hotspots of Thane to be under lockdown from March 13 to 31 – Hindustan Times
The Corner Bodega,@Kuan_Mai,"Do you need a negative COVID test result for land travel to our neighboring countries? 
Because there is no provision for that on the online registration site. 

#Salonetwitter #nacoverc"
hellolumbini.com,@hellolumbini,Paresh Rawal takes the first dose of COVID-19 vaccination; thanks health workers and scientists
Marcos Pasarín,@MarcosPasarin,"Replying to 
@alexlvila
 @DaniPons73
 and 2 others"
,@chapesque,"Replying to 
@eMujahidDrip"
Kim M. Badbadon(Mami Chikam),@kimmbadbadon,"JUST IN: House panels on health, ICT approve House Resolution 1536 which urges the IATF to establish a unified national contact tracing protocol amid COVID-19 pandemic."
Jason Brewer #SaveOurSummer #SOSTurismo #RejoinEU,@jrabrewer,"Replying to 
@ThatRyanChap
 and 
@JuliaHB1"
marie the muffin,@nihilistwolves,"lo que vosotrxs queréis: verano sin covid
lo que yo quiero: ir al download festival"
Kelvin Henry Jr,@KelvinHenryJr,Remember when they was saying COVID would be over in a couple months and we’d be back to normal 
Cheryl de Boissiere,@priscilagural,"COVID! COVID! COVID! by Founders Sing — Fauci Finally Lets Trump Have It! https://youtu.be/_oCS-1w-OdU via 
@YouTube"
*anastasiabeaverhausen,@anastasiaNo1,"Replying to 
@nicolajanesharp"
Darryl Sharp,@sharpd49,There’s already 6 assassinations of Covid researchers and investigators. https://stateofthenation.co/?p=55447
hellolumbini.com,@hellolumbini,Sanjay Leela Bhansali tests COVID-19 positive; Gangubai Kathiawadi shoot comes to a halt
Alexander Sladkovsky,@ASladkovsky,"«Легендарные музыканты провели концерт для медиков, борющихся с COVID

Среди зрителей - настоящие герои: медики, которые весь год сражались с пандемией. И этот концерт - благодарность за их титанический труд».

«Известия»
https://ren.tv/player/video/embed/810144#autoplay=1…;"
마야언니,@aitakattroll,"temen 1 (abis vaksin):
jangan nolak vaksin lah, kan kita vaksin juga demi bangsa dan negara

temen 2 (penyintas covid belum 3 bulan sembuh gak dapet vaksin):
lah lo pikir gw kena covid gara2 apa kalo bukan gara2 kerja demi bangsa dan negara?!

#overheardPieNeSdailyLyf"
Jessika Freitas,@jfreiitas,E vamos nos para mais um dia de trabalho no covid. Cansada!
greentea,@Erichdan,"Betong, kes covid-19 aritok
.."
Patrick Dewals,@patrickdewals1,"both medical &non-medical facemasks are ineffective to block human-to-human transmission of viral &infectious disease such SARS-CoV-2 &COVID-19,. Wearing facemasks has been demonstrated to have substantial adverse physiological & psychological effects"
Le musée des sorcières,@Laulila77,"Replying to 
@RodriguesDoRos1
 and 
@GmsPrr_"
MissyLu,@MissyLu8,"Replying to 
@michaelianblack"
CINET,@CINET_PTC,"How to:

- Build a sustainable textile care business
- Improve current businesses from a strategic perspective
- Manage a crisis like COVID-19 or a sharp recession

And a lot more 
 

https://cinet-online.com/events/new-professional-after-corona-management-training-course-get-the-early-bird-offer-before-march-1st/…

#textilecare #drycleaning #wetcleaning"
BornBlue64,@RodenPlav64,"Replying to 
@andyfire1000
 and 
@berniespofforth"
CC Shoreditch 'PG',@ccshoreditch,"Replying to 
@Matthew81_"
Ursh,@urshbat,"Replying to 
@ArdPad
 and 
@MichaelRosenYes"
Stevo Namecam,@SNamecam,"The strength a dog brings for those that can’t see & dogs for eyes that’s seen too much. My application is delayed with Covid but I reckon they don’t want the poor dog having trauma issues with my sweetheart Mrs barking
don’t mess wae ma dug Louise"
nand kishor verma,@nandkis09458351,All-Around World Cup in Tokyo cancelled due to Covid-19 impact | More sports News – Times of India
Abhilasha Niranjan,@iAbhilashaSays,"I just want to say that
#DelhiResidentsAwards are being organised to appreciate the work Delhi NCR residents have done for their support staff during covid and otherwise.  Watch it live at http://delhiresidentsawards.org tomorrow at 3:00pm"
North Star,@NStarNews,Patience plea over Covid vaccine as rollout continues
District Health Authority Rawalpindi,@DistrictHealth1,"Today dsr District Rawalpindi 61  Covid 19 patients reported in district Rawalpindi highest figure of the this month and 90 total Covid 19 patients admitted to the hospital 
@PSHDept
@GovtofPunjabPK
@DCRawalpindi
@drjawad87"
Radio 1000 AM,@1000_am,"LUCHA CONTRA EL COVID-19 |
Habla el Dr. Roque Silva (
@roque16silva
), director de la XI Región Sanitaria,con 
@estelitavaldes2
 y 
@danielriosgz
 #PrimeraPalabra #1000am"
Lil QuiQuiRiQui Cafe,@Da_villian_Ice,Clearly Covid not enough 
John Mayer IND,@JohnMayerLovsss,"RT TRANS7 ""Demi Bantu Warga Terdampak COVID-19, Polisi Ngawi Sampai Keliling Berjualan Sayur. #Redaksi """
